S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,depreciation_rate,car_age
2397,Ford EcoSport 1.5 Petrol Trend,Kolkata,2016,21460,Petrol,Manual,First,17.0,1497 CC,121.36 bhp,5.0,947000.0000000001,6.0,99.99936642027455,9
2400,Honda Jazz V CVT,Hyderabad,2015,33000,Petrol,Automatic,First,19.0,1199 CC,88.7 bhp,5.0,1017000.0,7.25,99.99928711897739,10
2410,Maruti Vitara Brezza ZDi Plus,Jaipur,2017,48324,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1147000.0,9.0,99.99921534437664,8
2413,Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2017,20773,Diesel,Manual,First,24.0,1186 CC,73.97 bhp,5.0,817000.0,5.92,99.99927539779682,8
2414,Volkswagen Polo 1.5 TDI Highline,Kolkata,2016,22000,Diesel,Manual,First,20.14,1498 CC,88 bhp,5.0,958000.0,6.29,99.99934342379959,9
2423,BMW 3 Series 320d,Mumbai,2013,25000,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,4787000.0,17.99,99.99962419051597,12
2428,Mahindra Xylo H4,Chennai,2015,82000,Diesel,Manual,Second,14.02,2179 CC,118.3 bhp,7.0,1167000.0,4.85,99.99958440445586,10
2438,Maruti Dzire VDI,Hyderabad,2011,110000,Diesel,Manual,First,28.4,1248 CC,73.75 bhp,5.0,914000.0,4.0,99.99956236323851,14
2443,Volkswagen Polo 1.5 TDI Highline,Delhi,2012,68038,Diesel,Manual,First,20.14,1498 CC,88 bhp,5.0,996000.0000000001,3.6,99.99963855421687,13
2445,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,55000,Diesel,Automatic,First,22.48,1995 CC,190 bhp,5.0,6371000.0,21.75,99.99965860932349,12
2446,Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,2017,25000,Diesel,Automatic,First,17.9,2143 CC,170 bhp,5.0,6414000.0,45.0,99.99929840972872,8
2447,Maruti Alto K10 VXI,Coimbatore,2011,46808,Petrol,Manual,Second,24.07,998 CC,67.1 bhp,5.0,470000.0,3.19,99.99932127659574,14
2448,Hyundai Xcent 1.2 VTVT S,Coimbatore,2015,65743,Petrol,Manual,First,20.14,1197 CC,81.86 bhp,5.0,785000.0,6.2,99.99921019108281,10
2454,Hyundai Creta 1.6 SX Option,Mumbai,2016,29477,Petrol,Manual,First,15.8,1591 CC,121.3 bhp,5.0,1636000.0,10.25,99.99937347188263,9
2455,Toyota Fortuner 2.8 2WD AT,Delhi,2017,40000,Diesel,Automatic,First,12.9,2755 CC,174.5 bhp,7.0,3738000.0000000005,30.0,99.99919743178171,8
2459,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,30000,Diesel,Manual,First,23.0,1498 CC,98.96 bhp,5.0,1189000.0,8.99,99.99924390243903,8
2464,Tata Zest Revotron 1.2T XE,Delhi,2017,47000,Petrol,Manual,Second,17.57,1193 CC,88.7 bhp,5.0,662000.0,4.5,99.99932024169185,8
2485,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,45362,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1175000.0,9.38,99.99920170212768,8
2488,Tata Hexa XTA,Coimbatore,2019,14233,Diesel,Automatic,First,17.6,2179 CC,153.86 bhp,7.0,2274000.0,17.85,99.99921503957783,6
2495,Skoda Superb Style 1.8 TSI AT,Mumbai,2010,62004,Petrol,Automatic,Second,14.67,1798 CC,177.46 bhp,5.0,3336000.0,3.75,99.99988758992806,15
2496,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25500,Diesel,Automatic,First,21.5,1498 CC,108.5 bhp,5.0,1586000.0,8.95,99.99943568726356,9
2509,Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,Diesel,Automatic,First,16.1,1950 CC,194 bhp,5.0,7055000.0,56.5,99.99919914953934,7
2510,BMW 3 Series 320d Luxury Line,Mumbai,2014,18600,Diesel,Automatic,Second,22.69,1995 CC,190 bhp,5.0,5443000.0,21.0,99.99961418335477,11
2533,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,20969,Diesel,Automatic,First,17.9,2143 CC,136 bhp,5.0,4536000.0,27.87,99.99938558201058,8
2534,Maruti Vitara Brezza ZDi,Kolkata,2018,2900,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1013000.0000000001,8.75,99.9991362290227,7
2536,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,Diesel,Manual,First,21.13,1498 CC,108.4 bhp,5.0,1422000.0,11.92,99.99916174402252,7
2545,Mahindra NuvoSport N8,Coimbatore,2017,37712,Diesel,Manual,First,17.45,1493 CC,100 bhp,7.0,1177000.0,7.57,99.99935683942226,8
2558,Datsun redi-GO T Option,Kochi,2018,30953,Petrol,Manual,First,22.7,799 CC,53.64 bhp,5.0,405000.0,3.48,99.99914074074074,7
2563,Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,Diesel,Manual,First,16.3,1956 CC,170 bhp,5.0,2695000.0,21.69,99.99919517625231,7
2569,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2017,65367,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2805000.0,20.14,99.99928199643493,8
2589,Maruti Wagon R VXI AMT,Mumbai,2016,8000,Petrol,Automatic,First,22.5,998 CC,67 bhp,5.0,614000.0,4.15,99.99932410423452,9
2592,Maruti Alto K10 VXI,Mumbai,2016,13198,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,482000.0,3.15,99.99934647302904,9
2595,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,2019,15379,Petrol,Automatic,First,23.84,1199 CC,83.83 bhp,5.0,717000.0,6.97,99.9990278940028,6
2604,Mini Cooper Convertible S,Mumbai,2016,15000,Petrol,Automatic,First,16.82,1998 CC,189.08 bhp,4.0,4428000.0,35.0,99.99920957542908,9
2607,Hyundai Verna CRDi 1.6 SX Option,Pune,2017,50000,Diesel,Manual,First,22.0,1582 CC,126.2 bhp,5.0,1572000.0,11.5,99.99926844783715,8
2622,Renault Duster 85PS Diesel RxE,Pune,2016,54000,Diesel,Manual,First,19.87,1461 CC,83.8 bhp,5.0,1127000.0,6.5,99.99942324755989,9
2648,Honda BRV i-VTEC V MT,Pune,2016,9200,Petrol,Manual,First,15.4,1497 CC,117.3 bhp,7.0,1358000.0,8.0,99.99941089837996,9
2649,Honda Amaze S Diesel,Hyderabad,2015,29000,Diesel,Manual,First,27.4,1498 CC,98.6 bhp,5.0,909000.0,5.99,99.99934103410341,10
2665,Maruti Alto K10 VXI,Kochi,2018,46805,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,409000.0,3.63,99.99911246943766,7
2667,Tata Zest Revotron 1.2T XE,Mumbai,2017,100000,Petrol,Manual,First,17.57,1193 CC,88.7 bhp,5.0,683000.0,4.25,99.99937774524157,8
2678,Maruti Wagon R LXI,Kochi,2011,15466,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,504000.0,3.36,99.99933333333334,14
2692,BMW 3 Series 320d,Kolkata,2011,70000,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,4381000.0,10.3,99.99976489385986,14
2694,Maruti Wagon R VXI,Kochi,2014,41994,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,512000.0,3.41,99.999333984375,11
2699,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,51000,Diesel,Automatic,First,15.17,1968 CC,181 bhp,5.0,4864000.0,27.5,99.99943462171052,10
2700,Maruti Wagon R VXI 1.2,Jaipur,2015,64876,Petrol,Manual,First,21.5,1197 CC,81.80 bhp,5.0,571000.0,3.5,99.99938704028021,10
2701,Maruti Celerio CNG VXI MT,Kochi,2016,70536,CNG,Manual,First,31.79,998 CC,58.33 bhp,5.0,587000.0,4.58,99.99921976149916,9
2702,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,25299,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1256000.0,10.34,99.99917675159234,8
2709,Honda Amaze V Petrol,Kochi,2016,40866,Petrol,Manual,First,19.5,1199 CC,86.76 bhp,5.0,816000.0,5.47,99.99932965686274,9
2711,Mini Cooper Convertible S,Kochi,2017,20469,Petrol,Automatic,First,16.82,1998 CC,189.08 bhp,4.0,4428000.0,35.98,99.99918744354109,8
2722,Volkswagen Ameo 1.5 TDI Highline,Kochi,2018,31426,Diesel,Manual,First,21.66,1498 CC,108.62 bhp,5.0,972000.0000000001,7.9,99.99918724279834,7
2728,Maruti Baleno Alpha CVT,Kochi,2019,13574,Petrol,Automatic,First,21.4,1197 CC,83.1 bhp,5.0,1030000.0000000001,9.51,99.99907669902912,6
2742,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,90000,Diesel,Automatic,First,22.48,1995 CC,190 bhp,5.0,6371000.0,19.5,99.99969392560037,12
2745,Maruti Vitara Brezza ZDi Plus,Kochi,2017,38426,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1112000.0,9.13,99.99917895683454,8
2746,Maruti Eeco 7 Seater Standard,Pune,2011,45000,Petrol,Manual,First,15.1,1196 CC,73 bhp,7.0,469000.00000000006,2.25,99.99952025586354,14
2749,Maruti Wagon R LXI,Mumbai,2010,37822,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,504000.0,2.35,99.99953373015873,15
2763,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2017,72202,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,8.0,2401000.0,17.92,99.99925364431486,8
2767,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,Diesel,Automatic,First,11.57,2987 CC,254.79 bhp,5.0,9513000.0,59.29,99.99937674760855,7
2770,Maruti Baleno Alpha,Mumbai,2016,12208,Petrol,Manual,First,21.4,1197 CC,83.1 bhp,5.0,877999.9999999999,6.75,99.9992312072893,9
2774,Volkswagen Polo GT TSI,Mumbai,2017,27853,Petrol,Automatic,First,17.21,1197 CC,103.5 bhp,5.0,1126000.0,8.25,99.99926731793961,8
2788,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,20689,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,668000.0,6.07,99.99909131736527,7
2801,Renault KWID 1.0 RXT Optional AMT,Coimbatore,2017,53285,Petrol,Automatic,First,22.5,999 CC,67 bhp,5.0,542000.0,4.28,99.99921033210332,8
2808,Mercedes-Benz GLE 350d,Mumbai,2017,19863,Diesel,Automatic,First,11.57,2987 CC,254.79 bhp,5.0,9123000.0,64.95,99.99928806313714,8
2812,Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,2018,3958,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,714000.0,5.55,99.99922268907562,7
2827,BMW X3 xDrive 20d Luxury Line,Hyderabad,2009,58000,Diesel,Automatic,First,18.56,1995 CC,190 bhp,5.0,6959000.0,17.98,99.99974162954447,16
2851,Renault KWID 1.0 RXT Optional,Kochi,2018,18335,Petrol,Manual,First,21.7,999 CC,67 bhp,5.0,461000.00000000006,4.5,99.99902386117137,7
2853,Volkswagen Polo GT TSI,Mumbai,2017,25000,Petrol,Automatic,First,17.21,1197 CC,103.5 bhp,5.0,1126000.0,7.75,99.99931172291296,8
2855,Toyota Fortuner 2.8 2WD AT,Kochi,2019,21719,Diesel,Automatic,First,12.9,2755 CC,174.5 bhp,7.0,3738000.0000000005,33.13,99.99911369716426,6
2859,Renault KWID Climber 1.0 MT,Hyderabad,2018,4126,Petrol,Manual,First,21.7,999 CC,67 bhp,5.0,530000.0,4.8,99.99909433962263,7
2860,Tata Bolt Quadrajet XM,Hyderabad,2017,98500,Diesel,Manual,First,22.95,1248 CC,74 bhp,5.0,797000.0,6.0,99.99924717691343,8
2866,BMW 3 Series 320d,Coimbatore,2009,103905,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,4331000.0,9.92,99.9997709535904,16
2876,Audi A6 35 TDI Matrix,Delhi,2014,56000,Diesel,Automatic,First,18.53,1968 CC,187.74 bhp,5.0,5938000.0,24.0,99.99959582350961,11
2878,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2017,33550,Diesel,Automatic,First,21.5,1498 CC,108.5 bhp,5.0,1586000.0,9.6,99.999394703657,8
2879,Audi A6 35 TDI Matrix,Hyderabad,2014,62000,Diesel,Automatic,First,18.53,1968 CC,187.74 bhp,5.0,6709999.999999999,25.0,99.99962742175857,11
2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,Petrol,Automatic,First,14.8,1497 CC,121.36 bhp,5.0,1410000.0,10.44,99.99925957446808,7
2894,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,2018,14000,Diesel,Manual,First,21.5,1497 CC,108.5 bhp,5.0,1222000.0,9.9,99.9991898527005,7
2900,Isuzu MUX 4WD,Jaipur,2017,34429,Diesel,Automatic,First,13.8,2999 CC,174.57 bhp,7.0,3368000.0,20.0,99.99940617577198,8
2914,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52100,Diesel,Manual,First,21.43,1364 CC,86.79 bhp,5.0,1927000.0,6.5,99.99966268811625,13
2915,Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2018,10000,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,696000.0,5.85,99.99915948275863,7
2916,Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,6261,Diesel,Manual,First,16.3,1956 CC,170 bhp,5.0,2695000.0,23.91,99.99911280148423,6
2917,Maruti Ignis 1.2 AMT Alpha,Coimbatore,2019,3906,Petrol,Automatic,First,20.89,1197 CC,81.80 bhp,5.0,796000.0,7.36,99.99907537688443,6
2920,Toyota Innova Crysta 2.4 VX MT,Mumbai,2017,38000,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2306000.0,17.65,99.99923460537728,8
2922,Toyota Platinum Etios 1.4 GXD,Hyderabad,2015,150000,Diesel,Manual,First,23.59,1364 CC,67.05 bhp,5.0,958000.0,6.0,99.99937369519833,10
2937,Toyota Innova Crysta 2.8 GX AT 8S,Delhi,2017,18000,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,8.0,2080000.0,18.25,99.99912259615384,8
2957,Nissan Micra Active XV,Ahmedabad,2016,41000,Petrol,Manual,First,19.69,1198 CC,67.04 bhp,5.0,678000.0,4.25,99.99937315634219,9
2959,Jeep Compass 2.0 Sport,Hyderabad,2017,37000,Diesel,Manual,First,17.1,1956 CC,170 bhp,5.0,1991000.0,16.9,99.9991511803114,8
2970,Tata Zest Quadrajet 1.3 75PS XM,Pune,2017,72000,Diesel,Manual,First,22.95,1248 CC,74 bhp,5.0,893000.0,5.0,99.99944008958566,8
2977,Maruti Dzire VXI,Hyderabad,2013,34900,Petrol,Manual,First,22.0,1197 CC,81.80 bhp,5.0,797000.0,5.49,99.99931116687578,12
2989,Maruti Wagon R LXI,Mumbai,2014,25422,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,504000.0,3.25,99.99935515873017,11
2990,Maruti Ertiga VDI,Mumbai,2018,14000,Diesel,Manual,First,25.47,1248 CC,88.50 bhp,7.0,1166000.0,9.25,99.99920668953688,7
2994,Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,2017,43000,Petrol,Manual,First,18.15,1198 CC,82 bhp,5.0,735000.0,4.5,99.99938775510205,8
3002,Maruti Swift VXI,Pune,2010,68000,Petrol,Manual,First,22.0,1197 CC,81.80 bhp,5.0,699000.0,2.8,99.99959942775392,15
3006,Jeep Compass 2.0 Limited,Pune,2018,16039,Diesel,Manual,First,17.1,1956 CC,170 bhp,5.0,2389000.0,18.5,99.99922561741315,7
3012,Maruti Swift LDI,Hyderabad,2016,52000,Diesel,Manual,First,28.4,1248 CC,74 bhp,5.0,727000.0,5.95,99.99918156808803,9
3040,Maruti Swift VDI,Kochi,2015,53500,Diesel,Manual,First,28.4,1248 CC,74 bhp,5.0,788000.0,5.36,99.99931979695431,10
3052,Hyundai Xcent 1.2 CRDi S,Mumbai,2016,50000,Diesel,Manual,First,25.4,1186 CC,73.97 bhp,5.0,884000.0,3.5,99.99960407239818,9
3059,BMW 3 Series 320d Luxury Line,Delhi,2019,87000,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,5246000.0,6.67,99.99987285550897,6
3067,Mahindra Xylo H4,Coimbatore,2016,93166,Diesel,Manual,Second,14.02,2179 CC,118.3 bhp,7.0,1167000.0,5.85,99.99949871465294,9
3075,Toyota Corolla Altis 1.8 VL CVT,Kolkata,2018,5000,Petrol,Automatic,First,14.28,1798 CC,138.03 bhp,5.0,2237000.0,16.95,99.99924228877961,7
3078,Skoda Rapid 1.6 MPI Ambition,Mumbai,2015,39822,Petrol,Manual,First,15.41,1598 CC,103.52 bhp,5.0,1202000.0,4.68,99.99961064891848,10
3080,Renault KWID RXL,Kochi,2017,24214,Petrol,Manual,Second,25.17,799 CC,53.3 bhp,5.0,395000.0,3.46,99.9991240506329,8
3087,BMW 3 Series 320d,Coimbatore,2013,85846,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,4879000.0,13.08,99.9997319122771,12
3119,Maruti Alto K10 LXI CNG Optional,Kochi,2018,44202,CNG,Manual,First,32.26,998 CC,58.2 bhp,4.0,466000.0,4.0,99.99914163090129,7
3127,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,35981,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1129000.0,9.51,99.99915766164747,8
3129,Maruti Wagon R CNG LXI,Delhi,2014,74663,CNG,Manual,First,33.54,998 CC,67.04 bhp,5.0,535000.0,3.25,99.99939252336448,11
3142,Honda Brio 1.2 S MT,Mumbai,2015,22000,Petrol,Manual,First,18.5,1198 CC,86.8 bhp,5.0,623000.0,3.95,99.99936597110755,10
3156,Hyundai Grand i10 1.2 Kappa Magna AT,Coimbatore,2019,12153,Petrol,Automatic,First,18.9,1197 CC,81.86 bhp,5.0,798000.0,6.84,99.99914285714286,6
3158,Audi A4 30 TFSI Premium Plus,Kochi,2017,61221,Petrol,Automatic,First,17.84,1395 CC,147.51 bhp,5.0,4716000.0,21.73,99.99953922815945,8
3161,Mini Cooper 5 DOOR D,Kochi,2019,14857,Diesel,Automatic,First,20.7,1496 CC,113.98 bhp,5.0,4198000.0,31.55,99.99924845164364,6
3163,Ford Endeavour Titanium 4X2,Coimbatore,2019,14648,Diesel,Manual,First,12.62,2198 CC,158 bhp,7.0,3529000.0,27.36,99.99922470954945,6
3168,Tata Zest Revotron 1.2T XM,Kochi,2017,48198,Petrol,Manual,First,17.57,1193 CC,88.7 bhp,5.0,763000.0,4.65,99.99939056356487,8
3173,Maruti Dzire LDI,Pune,2012,150000,Diesel,Manual,Third,28.4,1248 CC,73.75 bhp,5.0,791000.0,2.25,99.99971554993678,13
3180,Maruti Eeco CNG 5 Seater AC,Ahmedabad,2015,47001,CNG,Manual,First,20.0,1196 CC,63 bhp,5.0,536000.0,3.72,99.99930597014925,10
3181,Maruti Wagon R VXI,Chennai,2014,52000,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,551000.0,3.45,99.99937386569874,11
3186,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2017,62788,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,810000.0,6.08,99.99924938271606,8
3190,Toyota Innova Crysta 2.8 GX AT,Pune,2018,20300,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2097000.0,18.0,99.99914163090129,7
3194,Mini Cooper 3 DOOR D,Kochi,2015,27641,Diesel,Automatic,Second,20.7,1496 CC,113.98 bhp,4.0,3489000.0,24.77,99.99929005445686,10
3198,Mahindra XUV500 W7,Delhi,2018,9000,Diesel,Manual,First,14.0,2179 CC,155 bhp,7.0,1639999.9999999998,13.0,99.99920731707317,7
3203,Honda City i-VTEC CVT VX,Mumbai,2015,19000,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1529000.0,8.95,99.9994146500981,10
3217,Honda City i-VTEC CVT VX,Jaipur,2017,35000,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1467000.0,7.7,99.99947511929108,8
3219,Honda City i-VTEC V,Mumbai,2017,11000,Petrol,Manual,First,17.4,1497 CC,117.3 bhp,5.0,1257000.0,8.5,99.99932378679397,8
3226,Nissan Micra XV D,Chennai,2012,93450,Diesel,Manual,Second,23.19,1461 CC,63.12 bhp,5.0,948000.0,2.5,99.99973628691983,13
3239,Maruti Dzire ZDI,Ahmedabad,2013,56454,Diesel,Manual,First,28.4,1248 CC,73.75 bhp,5.0,894999.9999999999,4.65,99.99948044692736,12
3244,Jeep Compass 2.0 Limited Option 4X4,Kolkata,2017,15050,Diesel,Manual,First,16.3,1956 CC,170 bhp,5.0,2319000.0,17.5,99.9992453643812,8
3254,Ford Freestyle Titanium Plus Petrol,Kolkata,2018,8896,Petrol,Manual,First,19.0,1194 CC,94.68 bhp,5.0,824000.0,7.34,99.99910922330098,7
3256,Honda Jazz V,Mumbai,2016,31378,Petrol,Manual,First,18.2,1199 CC,88.7 bhp,5.0,871000.0000000001,5.9,99.99932261768082,9
3259,Audi Q3 30 TDI Premium FWD,Mumbai,2017,31000,Diesel,Automatic,First,18.51,1968 CC,147.51 bhp,5.0,4475000.0,27.0,99.9993966480447,8
3266,Mercedes-Benz E-Class E400 Cabriolet,Kolkata,2015,7501,Petrol,Automatic,First,10.0,2996 CC,333 bhp,4.0,8757000.0,48.0,99.99945186707777,10
3268,Mercedes-Benz GLE 350d,Coimbatore,2018,29277,Diesel,Automatic,First,11.57,2987 CC,254.79 bhp,5.0,9513000.0,59.65,99.99937296331336,7
3273,Maruti Baleno Delta CVT,Coimbatore,2018,34630,Petrol,Automatic,First,21.4,1197 CC,83.1 bhp,5.0,857000.0,7.29,99.99914935822638,7
3277,Mini Cooper 3 DOOR D,Kochi,2016,32298,Diesel,Automatic,First,20.7,1496 CC,113.98 bhp,4.0,3500000.0,23.8,99.99932,9
3300,Ford Aspire Ambiente Diesel,Kolkata,2018,17000,Diesel,Manual,First,26.1,1498 CC,99 bhp,5.0,756000.0,5.65,99.99925264550265,7
3324,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,29836,Diesel,Automatic,First,17.9,2143 CC,136 bhp,5.0,4307000.0,25.75,99.99940213605758,6
3334,Toyota Etios Liva 1.4 GD,Delhi,2013,84000,Diesel,Manual,First,23.59,1364 CC,67.04 bhp,5.0,783000.0,3.85,99.99950830140486,12
3358,Maruti Celerio VXI AMT,Chennai,2015,55000,Petrol,Automatic,First,23.1,998 CC,67.04 bhp,5.0,600000.0,3.5,99.99941666666666,10
3373,Honda City i-VTEC VX,Mumbai,2017,7500,Petrol,Manual,First,17.4,1497 CC,117.3 bhp,5.0,1376000.0,11.15,99.99918968023258,8
3374,Renault Duster 110PS Diesel RxZ AMT,Jaipur,2016,68163,Diesel,Automatic,First,19.6,1461 CC,108.45 bhp,5.0,1411000.0,8.9,99.99936924167258,9
3381,Maruti Vitara Brezza LDi,Kochi,2017,35384,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,911999.9999999999,8.61,99.99905592105264,8
3383,Ford EcoSport 1.5 Diesel Titanium,Coimbatore,2018,32189,Diesel,Manual,First,23.0,1498 CC,98.96 bhp,5.0,1120000.0,9.25,99.99917410714285,7
3417,BMW 3 Series 320d,Mumbai,2010,67000,Diesel,Automatic,Second,22.69,1995 CC,190 bhp,5.0,4787000.0,9.25,99.9998067683309,15
3425,Maruti Vitara Brezza ZDi Plus,Coimbatore,2018,52380,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1247000.0,10.15,99.99918604651164,7
3430,Toyota Etios Liva 1.2 G,Chennai,2011,42000,Petrol,Manual,Second,17.71,1197 CC,78.9 bhp,5.0,651000.0,3.75,99.99942396313364,14
3448,Honda WRV i-VTEC VX,Ahmedabad,2017,32248,Petrol,Manual,First,17.5,1199 CC,88.7 bhp,5.0,1032000.0,8.25,99.99920058139536,8
3451,Hyundai Grand i10 1.2 Kappa Asta,Bangalore,2014,61325,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,810000.0,4.4,99.99945679012345,11
3465,Honda Amaze S Petrol,Jaipur,2014,69000,Petrol,Manual,First,19.5,1199 CC,88.76 bhp,5.0,752000.0,4.5,99.99940159574469,11
3471,Volkswagen Vento 1.5 TDI Highline AT,Hyderabad,2016,45492,Diesel,Automatic,First,21.5,1498 CC,108.5 bhp,5.0,1568000.0,10.3,99.9993431122449,9
3480,Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,2014,33496,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,745000.0,5.5,99.99926174496643,11
3500,BMW 5 Series 520d Luxury Line,Delhi,2013,65000,Diesel,Automatic,First,22.48,1995 CC,190 bhp,5.0,6787000.0,21.26,99.9996867540887,12
3501,Toyota Corolla Altis 1.8 G,Bangalore,2016,16471,Petrol,Manual,Second,14.28,1798 CC,138.03 bhp,5.0,2048000.0,11.5,99.9994384765625,9
3514,Honda City i-VTEC CVT VX,Pune,2018,4500,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1517000.0,12.5,99.99917600527357,7
3518,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,42646,Diesel,Automatic,First,19.6,1461 CC,108.45 bhp,5.0,1505000.0,12.46,99.99917209302326,8
3524,Maruti Swift VDI,Jaipur,2015,63310,Diesel,Manual,First,28.4,1248 CC,74 bhp,5.0,813000.0000000001,5.1,99.99937269372694,10
3537,Honda Jazz V,Hyderabad,2015,37000,Petrol,Manual,First,18.2,1199 CC,88.7 bhp,5.0,878999.9999999999,6.3,99.9992832764505,10
3539,Nissan Terrano XL D Option,Hyderabad,2013,65280,Diesel,Manual,First,19.87,1461 CC,83.14 bhp,5.0,1472000.0,5.8,99.99960597826086,12
3544,Jeep Compass 2.0 Limited Option 4X4,Jaipur,2017,45000,Diesel,Manual,First,16.3,1956 CC,170 bhp,5.0,2554000.0,20.0,99.9992169146437,8
3550,Honda City i-DTEC ZX,Pune,2017,42000,Diesel,Manual,First,25.6,1498 CC,98.6 bhp,5.0,1684000.0,12.0,99.99928741092636,8
3552,Hyundai Grand i10 1.2 CRDi Sportz,Chennai,2018,48000,Diesel,Manual,First,24.0,1186 CC,73.97 bhp,5.0,827999.9999999999,5.95,99.99928140096618,7
3555,Toyota Innova Crysta 2.4 VX MT,Coimbatore,2019,33598,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2394000.0,22.2,99.99907268170425,6
3567,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,13414,Diesel,Automatic,First,17.9,2143 CC,136 bhp,5.0,4307000.0,30.77,99.99928558161135,6
3569,Mahindra KUV 100 G80 K8,Jaipur,2018,15900,Petrol,Manual,First,18.15,1198 CC,82 bhp,6.0,788000.0,6.25,99.99920685279187,7
3572,Audi A6 35 TDI Matrix,Coimbatore,2017,36824,Diesel,Automatic,First,18.53,1968 CC,187.74 bhp,5.0,6937000.0,39.84,99.9994256883379,8
3578,Maruti Baleno Zeta CVT,Kolkata,2016,20000,Petrol,Automatic,First,21.4,1197 CC,83.1 bhp,5.0,903999.9999999999,5.74,99.9993650442478,9
3581,BMW 3 Series Luxury Line,Ahmedabad,2016,27000,Diesel,Automatic,First,21.76,1995 CC,190 bhp,5.0,5507000.0,35.0,99.99936444525149,9
3582,Maruti Dzire AMT ZDI Plus,Chennai,2017,19000,Diesel,Automatic,First,28.4,1248 CC,73.75 bhp,5.0,1097000.0,8.9,99.99918869644486,8
